process,temp,supply,Vout,iref
ss,-40,1.1,0.9,8.353252e+01
ff,-20,1.1,0.9,8.278178e+01
ff,-10,0.9,0.9,7.655161e+01
ff,-10,1.0,0.9,8.137974e+01
ff,-10,1.1,0.9,8.285635e+01
ff,0,1.0,0.9,8.144355e+01
ff,0,0.9,0.9,7.769355e+01
ff,0,1.1,0.9,8.289170e+01
ff,10,0.9,0.9,7.840001e+01
ff,10,1.0,0.9,8.143706e+01
ff,10,1.1,0.9,8.288772e+01
ff,20,0.9,0.9,7.880406e+01
ff,20,1.0,0.9,8.137578e+01
ff,20,1.1,0.9,8.284400e+01
ff,-20,0.9,0.9,7.441433e+01
ff,30,0.9,0.9,7.897022e+01
ff,30,1.1,0.9,8.276001e+01
ff,40,0.9,0.9,7.895243e+01
ff,40,1.0,0.9,8.111159e+01
ff,40,1.1,0.9,8.263519e+01
ff,50,0.9,0.9,7.880550e+01
ff,50,1.0,0.9,8.091262e+01
ff,50,1.1,0.9,8.246903e+01
ff,60,0.9,0.9,7.857134e+01
ff,60,1.0,0.9,8.066998e+01
ff,60,1.1,0.9,8.226113e+01
ff,70,0.9,0.9,7.827285e+01
ff,70,1.0,0.9,8.038399e+01
ff,70,1.1,0.9,8.201130e+01
ff,30,1.0,0.9,8.126637e+01
ff,80,0.9,0.9,7.792071e+01
ff,-20,1.0,0.9,8.121420e+01
ff,-30,1.0,0.9,8.090008e+01
fs,50,0.9,0.9,7.491666e+01
fs,50,1.0,0.9,7.832615e+01
fs,50,1.1,0.9,8.053662e+01
fs,60,0.9,0.9,7.437221e+01
fs,60,1.0,0.9,7.794058e+01
fs,60,1.1,0.9,8.023551e+01
fs,70,0.9,0.9,7.358471e+01
fs,70,1.0,0.9,7.747175e+01
fs,70,1.1,0.9,7.987434e+01
fs,80,0.9,0.9,7.234241e+01
fs,80,1.0,0.9,7.690009e+01
fs,80,1.1,0.9,7.944743e+01
fs,90,0.9,0.9,4.538130e+00
ff,-30,1.1,0.9,8.266756e+01
fs,90,1.0,0.9,7.618413e+01
fs,100,0.9,0.9,4.892249e+00
fs,100,1.0,0.9,7.522603e+01
fs,100,1.1,0.9,7.835788e+01
fs,110,0.9,0.9,5.229536e+00
fs,110,1.1,0.9,7.765114e+01
fs,110,1.0,0.9,7.376714e+01
fs,120,0.9,0.9,5.549384e+00
fs,120,1.0,0.9,7.105064e+01
fs,120,1.1,0.9,7.675988e+01
ff,-40,0.9,0.9,1.050723e+00
ff,-40,1.1,0.9,8.251209e+01
ff,-40,1.0,0.9,8.038518e+01
ff,-30,0.9,0.9,1.433491e+00
fs,90,1.1,0.9,7.894680e+01
fs,40,1.1,0.9,8.077864e+01
ff,80,1.0,0.9,5.243377e+01
ff,90,0.9,0.9,7.752014e+01
tt,30,0.9,0.9,7.919078e+01
tt,30,1.0,0.9,6.106454e+01
tt,30,1.1,0.9,8.387417e+01
tt,40,0.9,0.9,7.954523e+01
tt,40,1.1,0.9,8.377193e+01
tt,40,1.0,0.9,8.226935e+01
tt,50,0.9,0.9,7.967133e+01
tt,50,1.0,0.9,8.209475e+01
tt,50,1.1,0.9,8.362592e+01
tt,60,0.9,0.9,7.960804e+01
tt,60,1.1,0.9,8.343559e+01
tt,60,1.0,0.9,8.187103e+01
tt,70,0.9,0.9,7.940184e+01
tt,20,1.1,0.9,8.393326e+01
tt,70,1.0,0.9,8.159968e+01
tt,80,0.9,0.9,7.909522e+01
tt,80,1.1,0.9,8.292073e+01
tt,80,1.0,0.9,8.130110e+01
tt,90,0.9,0.9,7.871621e+01
tt,90,1.0,0.9,8.091716e+01
tt,90,1.1,0.9,8.259623e+01
tt,100,0.9,0.9,7.827853e+01
tt,100,1.0,0.9,8.050749e+01
tt,100,1.1,0.9,8.222768e+01
tt,110,0.9,0.9,7.778925e+01
tt,110,1.0,0.9,8.005371e+01
tt,110,1.1,0.9,8.181617e+01
tt,120,0.9,0.9,7.725269e+01
tt,70,1.1,0.9,8.320057e+01
ff,80,1.1,0.9,8.171957e+01
tt,20,1.0,0.9,8.245303e+01
tt,10,1.1,0.9,8.394983e+01
ff,90,1.0,0.9,7.968367e+01
ff,90,1.1,0.9,8.138630e+01
ff,100,0.9,0.9,7.707425e+01
ff,100,1.0,0.9,7.927081e+01
ff,100,1.1,0.9,8.101231e+01
ff,110,0.9,0.9,7.658551e+01
ff,110,1.0,0.9,7.881780e+01
ff,110,1.1,0.9,8.059892e+01
ff,120,0.9,0.9,7.605648e+01
ff,120,1.0,0.9,7.832664e+01
ff,120,1.1,0.9,8.014809e+01
tt,-40,0.9,0.9,1.713427e-01
tt,-40,1.0,0.9,7.985390e+01
tt,20,0.9,0.9,7.856508e+01
tt,-40,1.1,0.9,8.337442e+01
tt,-30,1.1,0.9,8.358846e+01
tt,-30,1.0,0.9,8.085467e+01
tt,-20,0.9,0.9,3.690873e-01
tt,-20,1.0,0.9,2.484424e+00
tt,-20,1.1,0.9,8.374601e+01
tt,-10,0.9,0.9,5.173489e-01
tt,-10,1.0,0.9,8.202676e+01
tt,-10,1.1,0.9,8.385674e+01
tt,0,0.9,0.9,6.738937e+01
tt,0,1.0,0.9,8.230761e+01
tt,0,1.1,0.9,6.433381e+01
tt,10,0.9,0.9,7.759282e+01
tt,10,1.0,0.9,8.243601e+01
tt,-30,0.9,0.9,2.552719e-01
tt,120,1.0,0.9,7.955757e+01
fs,40,1.0,0.9,7.863847e+01
fs,30,1.1,0.9,8.096627e+01
ss,70,1.0,0.9,5.696981e+01
ss,70,0.9,0.9,7.936488e+01
ss,70,1.1,0.9,8.385351e+01
ss,80,0.9,0.9,7.923947e+01
ss,80,1.0,0.9,8.183558e+01
ss,80,1.1,0.9,8.356937e+01
ss,90,0.9,0.9,7.896725e+01
ss,90,1.0,0.9,8.145689e+01
ss,90,1.1,0.9,8.323563e+01
ss,100,0.9,0.9,7.853324e+01
ss,100,1.0,0.9,8.102593e+01
ss,100,1.1,0.9,8.285254e+01
ss,110,0.9,0.9,7.802811e+01
ss,60,1.1,0.9,8.408814e+01
ss,110,1.0,0.9,8.054344e+01
ss,120,0.9,0.9,7.745108e+01
ss,120,1.1,0.9,8.194162e+01
ss,120,1.0,0.9,8.001067e+01
sf,-40,0.9,0.9,1.013838e-01
sf,-40,1.0,0.9,8.716155e-01
sf,-40,1.1,0.9,8.324978e+01
sf,-30,0.9,0.9,1.527984e-01
sf,-30,1.0,0.9,1.165365e+00
sf,-30,1.1,0.9,8.369533e+01
sf,-20,0.9,0.9,2.236463e-01
sf,-20,1.0,0.9,7.925785e+01
sf,-20,1.1,0.9,8.398838e+01
sf,-10,0.9,0.9,3.177573e-01
ss,110,1.1,0.9,8.242078e+01
sf,-10,1.0,0.9,8.048830e+01
ss,60,1.0,0.9,5.837054e+01
ss,50,1.1,0.9,8.427361e+01
ss,-40,0.9,0.9,2.481704e-02
ss,-40,1.0,0.9,2.567930e-01
ss,-30,0.9,0.9,3.979619e-02
ss,-30,1.0,0.9,7.040545e+01
ss,-30,1.1,0.9,8.392275e+01
ss,-20,0.9,0.9,6.180949e-02
ss,-20,1.0,0.9,8.038722e+01
ss,-20,1.1,0.9,8.418981e+01
ss,-10,0.9,0.9,9.325151e-02
ss,-10,1.0,0.9,8.133953e+01
ss,-10,1.1,0.9,8.437827e+01
ss,0,0.9,0.9,1.367280e-01
ss,0,1.0,0.9,8.201539e+01
ss,60,0.9,0.9,7.928624e+01
ss,0,1.1,0.9,8.447701e+01
ss,10,1.0,0.9,8.246516e+01
ss,10,1.1,0.9,8.453326e+01
ss,20,0.9,0.9,2.691186e-01
ss,20,1.0,0.9,8.272004e+01
ss,20,1.1,0.9,8.454013e+01
ss,30,0.9,0.9,7.747197e+01
ss,30,1.0,0.9,8.280953e+01
ss,30,1.1,0.9,8.449914e+01
ss,40,1.1,0.9,8.441043e+01
ss,40,0.9,0.9,7.838976e+01
ss,40,1.0,0.9,8.276960e+01
ss,50,0.9,0.9,7.897323e+01
ss,50,1.0,0.9,5.974200e+01
ss,10,0.9,0.9,1.947101e-01
fs,40,0.9,0.9,7.528157e+01
sf,-10,1.1,0.9,8.416713e+01
sf,0,1.0,0.9,8.135451e+01
sf,110,0.9,0.9,7.805616e+01
sf,110,1.1,0.9,8.217210e+01
sf,120,0.9,0.9,7.755377e+01
sf,120,1.0,0.9,7.989008e+01
sf,120,1.1,0.9,8.171503e+01
fs,-40,1.0,0.9,7.802249e+01
fs,-40,0.9,0.9,2.988301e-01
fs,-40,1.1,0.9,8.081333e+01
fs,-30,0.9,0.9,4.366432e-01
fs,-30,1.0,0.9,7.866866e+01
fs,-30,1.1,0.9,8.099645e+01
fs,-20,0.9,0.9,6.187487e-01
fs,-20,1.0,0.9,7.900873e+01
sf,110,1.0,0.9,8.038487e+01
fs,-20,1.1,0.9,8.112178e+01
fs,-10,1.0,0.9,7.916878e+01
fs,-10,1.1,0.9,8.119352e+01
fs,0,0.9,0.9,7.375265e+01
fs,0,1.0,0.9,7.921318e+01
fs,0,1.1,0.9,8.121362e+01
fs,10,0.9,0.9,7.494714e+01
fs,10,1.0,0.9,7.917290e+01
fs,10,1.1,0.9,8.118269e+01
fs,20,1.0,0.9,7.906112e+01
fs,20,0.9,0.9,7.539161e+01
fs,20,1.1,0.9,8.110052e+01
fs,30,0.9,0.9,7.546049e+01
fs,30,1.0,0.9,7.485733e+00
fs,-10,0.9,0.9,8.489603e-01
sf,0,0.9,0.9,4.379865e-01
sf,100,1.1,0.9,8.258743e+01
sf,100,0.9,0.9,7.848851e+01
sf,0,1.1,0.9,8.426631e+01
sf,10,0.9,0.9,5.856892e-01
sf,10,1.0,0.9,8.194569e+01
sf,10,1.1,0.9,8.430664e+01
sf,20,0.9,0.9,7.605316e-01
sf,20,1.0,0.9,8.230624e+01
sf,20,1.1,0.9,8.429732e+01
sf,30,0.9,0.9,6.371922e+01
sf,30,1.0,0.9,8.246912e+01
sf,30,1.1,0.9,8.424182e+01
sf,40,0.9,0.9,7.740408e+01
sf,40,1.1,0.9,5.986743e+01
sf,40,1.0,0.9,8.247299e+01
sf,100,1.0,0.9,8.083679e+01
sf,50,0.9,0.9,7.824214e+01
sf,50,1.1,0.9,8.399548e+01
sf,60,0.9,0.9,7.875659e+01
sf,60,1.0,0.9,8.216860e+01
sf,60,1.1,0.9,5.712419e+01
sf,70,0.9,0.9,7.900005e+01
sf,70,1.0,0.9,8.191286e+01
sf,70,1.1,0.9,8.356821e+01
sf,80,0.9,0.9,7.900830e+01
sf,80,1.0,0.9,8.160309e+01
sf,80,1.1,0.9,8.328644e+01
sf,90,0.9,0.9,2.495678e+00
sf,90,1.0,0.9,8.124355e+01
sf,90,1.1,0.9,8.295922e+01
sf,50,1.0,0.9,8.236153e+01
tt,120,1.1,0.9,8.136347e+01
