process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ)
tt,27,1,0.0,"tt,27,1",8.0532,9.722206e-01,2.343910e-01,2.73642,True,2.166968
tt,27,1,0.1,"tt,27,1",4.6656,-4.01073e-02,1.158313e+00,2.725402,True,2.197007
tt,27,1,0.2,"tt,27,1",-41.4306,1.256556e+00,-5.81121e-02,2.718454,True,2.231036
tt,27,1,0.3,"tt,27,1",165.6234,1.321272e+00,4.506797e-03,2.719714,True,2.266405
tt,27,1,0.4,"tt,27,1",411.8994,9.646992e-01,3.611557e-01,2.73529,True,2.300612
tt,27,1,0.5,"tt,27,1",4.5414,7.679276e-01,7.679230e-01,2.76849,True,2.331404
tt,27,1,0.6,"tt,27,1",61.3818,1.243137e+00,9.478694e-02,2.816468,True,2.358869
tt,27,1,0.7,"tt,27,1",4.5468,7.679675e-01,7.679324e-01,2.870548,True,2.38433
tt,27,1,0.8,"tt,27,1",4.519800000000001,7.679141e-01,7.679023e-01,2.924158,True,2.408237
tt,27,1,0.9,"tt,27,1",4.5234000000000005,7.678311e-01,7.678484e-01,2.972378,True,2.430115
tt,27,1,1.0,"tt,27,1",4.5234000000000005,7.679140e-01,7.679046e-01,3.011598,True,2.447907
tt,27,1,1.1,"tt,27,1",4.5234000000000005,7.679549e-01,7.679579e-01,3.039588,True,2.460098
tt,27,1,1.2,"tt,27,1",4.5234000000000005,7.679231e-01,7.679304e-01,3.056216,True,2.467447
tt,27,1,1.3,"tt,27,1",-72.1368,6.248751e-01,6.220029e-01,3.064328,True,2.470662
tt,27,1,1.4,"tt,27,1",-0.9954000000000001,-3.72996e-02,1.501100e+00,3.067732,True,2.47148
tt,27,1,1.5,"tt,27,1",4.527,7.679335e-01,7.679068e-01,3.069062,True,2.472091
tt,27,1,1.6,"tt,27,1",-1608.6114,1.512352e+00,6.114405e-03,3.069676,True,2.472589
tt,27,1,1.7,"tt,27,1",4.5252,7.678628e-01,7.678657e-01,3.069898,True,2.472605
tt,27,1,1.8,"tt,27,1",-1591.8300000000002,1.518909e+00,-6.21078e-03,3.06997,True,2.472769
